"COMPANY 
","FROM YEAR 
","TO YEAR 
","ATTACHMENT 
","**XBRL 
","ORIGINAL SUBMISSION DATE 
","LATEST REVISION DATE 
"
"ZENSAR TECHNOLOGIES LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/ZENSARTECH_08072026161318_Intimation_of_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/Zensar_BRSR_XML_BRSR_WebXMLFile_20260708_161345011.xml","08-Jul-2026","-"
"Crompton Greaves Consumer Electricals Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/Crompton123_08072026155159_SEIntimationforAnnualReportdispatch.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR26_BRSR_WebXMLFile_20260708_155222421.xml","08-Jul-2026","-"
"Voltamp Transformers Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/VOLTAMP_08072026135951_4_BRSR_59TH.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_59_AGM_BRSR_WebXMLFile_20260708_140011653.xml","08-Jul-2026","-"
"INDIAN HUME PIPE COMPANY LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/SHARES_08072026111808_SUBMISSIONBRSRREPORT2026.pdf","https://nsearchives.nseindia.com/corporate/xbrl/IHPXBRL202526NSE_BRSR_WebXMLFile_20260708_112023927.xml","08-Jul-2026","-"
"Latent View Analytics Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/LATENTVIEW_07072026222627_SEIntimationBRSRSigned.pdf","https://nsearchives.nseindia.com/corporate/xbrl/brsr_BRSR_WebXMLFile_20260707_222919333.xml","07-Jul-2026","-"
"Bajaj Finance Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_500034_07072026221403.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_500034_77202622143_BRSR_WebXMLFile_20260707_221419352.xml","07-Jul-2026","-"
"Sonata Software Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_532221_07072026203533.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_532221_772026203533_BRSR_WebXMLFile_20260707_203559126.xml","07-Jul-2026","-"
"Samvardhana Motherson International Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/MOTHERSON_07072026202206_Stock_Exchange_Disclosure_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_2026_BRSR_WebXMLFile_20260707_202217465.xml","07-Jul-2026","-"
"Shree Cement Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/SHREECEM_07072026194837_NSE_BSE_BRSR_070726.pdf","https://nsearchives.nseindia.com/corporate/xbrl/500387_BRSR_BRSR_WebXMLFile_20260707_194906479.xml","07-Jul-2026","-"
"GREENLAM INDUSTRIES LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/GREENLAMAW_07072026192934_BRSRSE.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_2026_BRSR_WebXMLFile_20260707_193005321.xml","07-Jul-2026","-"
